,model_name,TN,TP,FN,FP
0,Pairwise_SGD,24935,5461,0,234
1,Pairwise_RMS,24718,5461,0,451
2,Pairwise_LARS,24764,5461,0,405
3,Triplet_SGD,25049,5461,0,120
4,Triplet_LARS,25052,5461,0,117
5,Triplet_RMS,24836,5461,0,333
6,InfoNCE_SGD,25054,5461,0,115
7,InfoNCE_LARS,24755,5461,0,414
8,Supervised_SGD,25126,5388,73,43
9,Supervised_RMS,25116,5330,131,53
10,Supervised_LARS,25008,5459,2,161
11,InfoNCE_RMS,24854,5461,0,315
12,Pretrained_Pairwise,15220,5079,382,9949
13,Pretrained_Triplet,21126,5411,50,4043
14,Pretrained_InfoNCE,21551,5437,24,3618
15,Baseline,24687,5461,0,482
