,model_name,TN,TP,FN,FP
0,Pairwise_SGD,26418,1692,3816,231
1,Pairwise_RMS,26204,1725,3783,445
2,Pairwise_LARS,26186,1637,3871,463
3,Triplet_SGD,26599,2150,3358,50
4,Triplet_LARS,26601,1963,3545,48
5,Triplet_RMS,26431,1982,3526,218
6,InfoNCE_SGD,26582,1899,3609,67
7,InfoNCE_LARS,26393,1955,3553,256
8,Supervised_SGD,26628,1312,4196,21
9,Supervised_RMS,26609,1355,4153,40
10,Supervised_LARS,26443,1846,3662,206
11,InfoNCE_RMS,26356,1989,3519,293
12,Pretrained_Pairwise,15981,3479,2029,10668
13,Pretrained_Triplet,22680,2786,2722,3969
14,Pretrained_InfoNCE,23468,2673,2835,3181
15,Baseline,26506,1756,3752,143
