,model_name,TN,TP,FN,FP
0,Pairwise_SGD,27792,4501,1371,344
1,Pairwise_RMS,27627,4472,1400,509
2,Pairwise_LARS,27609,4440,1432,527
3,Triplet_SGD,28046,4700,1172,90
4,Triplet_LARS,28020,4610,1262,116
5,Triplet_RMS,27767,4595,1277,369
6,InfoNCE_SGD,28007,4421,1451,129
7,InfoNCE_LARS,27683,4290,1582,453
8,Supervised_SGD,28116,3743,2129,20
9,Supervised_RMS,28098,3762,2110,38
10,Supervised_LARS,27911,4375,1497,225
11,InfoNCE_RMS,27763,4433,1439,373
12,Pretrained_Pairwise,17538,4766,1106,10598
13,Pretrained_Triplet,23583,4711,1161,4553
14,Pretrained_InfoNCE,24154,4705,1167,3982
15,Baseline,27801,4394,1478,335
